sig_or_ran	sig_TCP_type	database	all_prot	GS	sig_prot	hit	p-value	hit_prot_list
ran670	neg	TTD	14397	464	7	1	0.01954764354408272	{'CREBBP'}
ran670	neg	uniprot(oncogene)	14397	1408	7	5	5.559452618100671e-06	{'SMAD3', 'UBE2I', 'CREBBP', 'TCF4', 'CDKN1A'}
ran671	pos	TSgene	14397	878	29	9	4.670608027048819e-06	{'VIM', 'BRCA1', 'CREBBP', 'TCF4', 'ZBTB16', 'TP53', 'IKZF3', 'CDKN1A', 'PIN1'}
ran671	pos	uniprot(tumor_suppressor)	14397	658	29	12	1.1652594637917275e-10	{'MEOX2', 'MTUS2', 'LZTS2', 'SETDB1', 'DAXX', 'PIN1', 'BRCA1', 'UBE2I', 'TCF4', 'USHBP1', 'TP53', 'RELA'}
ran671	neg	TTD	14397	464	11	3	0.00029346750870189425	{'TP53', 'CREBBP', 'AR'}
ran671	neg	uniprot(oncogene)	14397	1408	11	7	1.03420581005908e-06	{'SMAD3', 'UBE2I', 'CREBBP', 'ZBTB16', 'TP53', 'AR', 'CDKN1A'}
ran672	pos	TSgene	14397	878	13	3	0.0063016677092593175	{'ZBTB16', 'CREBBP', 'CDKN1A'}
ran672	pos	uniprot(tumor_suppressor)	14397	658	13	3	0.0022208350343323	{'UBE2I', 'MEOX2', 'RELA'}
ran672	neg	TTD	14397	464	12	3	0.0004290293305516408	{'TP53', 'ESR1', 'CREBBP'}
ran672	neg	uniprot(oncogene)	14397	1408	12	10	8.26003203013061e-11	{'PIAS1', 'SMAD3', 'BRCA1', 'UBE2I', 'FHL2', 'ESR1', 'CREBBP', 'TP53', 'CDKN1A', 'PIN1'}
ran673	pos	TSgene	14397	878	16	6	2.154024543447283e-05	{'VIM', 'BRCA1', 'CREBBP', 'ZBTB16', 'TP53', 'CDKN1A'}
ran673	pos	uniprot(tumor_suppressor)	14397	658	16	5	4.812686792820542e-05	{'MEOX2', 'BRCA1', 'TRAF2', 'UBE2I', 'TP53'}
ran673	neg	TTD	14397	464	19	4	0.0002720598554973574	{'ESR1', 'TP53', 'EGFR', 'CREBBP'}
ran673	neg	uniprot(oncogene)	14397	1408	19	12	1.0974478810820058e-09	{'REL', 'EGFR', 'SMAD3', 'UBE2I', 'FHL2', 'ESR1', 'CREBBP', 'ZBTB16', 'TP53', 'NCOA1', 'CDKN1A', 'RELA'}
ran674	pos	TSgene	14397	878	19	7	7.658632261603712e-06	{'BRCA1', 'ESR1', 'CREBBP', 'TCF4', 'ZBTB16', 'TP53', 'CDKN1A'}
ran674	pos	uniprot(tumor_suppressor)	14397	658	19	7	8.811116185772667e-07	{'MEOX2', 'BRCA1', 'UBE2I', 'ESR1', 'TCF4', 'TP53', 'RELA'}
ran674	neg	TTD	14397	464	18	2	0.018929582595518794	{'TP53', 'CREBBP'}
ran674	neg	uniprot(oncogene)	14397	1408	18	9	1.6269979428210784e-06	{'TRAF1', 'SMAD3', 'UBE2I', 'CREBBP', 'ZBTB16', 'TP53', 'NCOA1', 'CDKN1A', 'RELA'}
ran675	pos	TSgene	14397	878	22	6	0.00023245073084399674	{'BRCA1', 'CREBBP', 'TCF4', 'ZBTB16', 'TP53', 'CDKN1A'}
ran675	pos	uniprot(tumor_suppressor)	14397	658	22	9	1.4594916344598797e-08	{'MEOX2', 'MTUS2', 'LZTS2', 'BRCA1', 'TRAF2', 'UBE2I', 'TCF4', 'TP53', 'RELA'}
ran675	neg	TTD	14397	464	10	2	0.0033700872987153644	{'TP53', 'CREBBP'}
ran675	neg	uniprot(oncogene)	14397	1408	10	6	7.759048553974358e-06	{'SMAD3', 'UBE2I', 'CREBBP', 'ZBTB16', 'TP53', 'CDKN1A'}
ran676	pos	TSgene	14397	878	15	6	1.2789078049929417e-05	{'KAT5', 'CREBBP', 'TCF4', 'ZBTB16', 'TP53', 'CDKN1A'}
ran676	pos	uniprot(tumor_suppressor)	14397	658	15	5	3.128538976451709e-05	{'MEOX2', 'KAT5', 'UBE2I', 'TCF4', 'TP53'}
ran676	neg	TTD	14397	464	11	3	0.00029346750870189425	{'TP53', 'CREBBP', 'AR'}
ran676	neg	uniprot(oncogene)	14397	1408	11	8	3.6626190399533504e-08	{'KAT5', 'SMAD3', 'UBE2I', 'CREBBP', 'ZBTB16', 'TP53', 'AR', 'CDKN1A'}
ran677	pos	TSgene	14397	878	23	9	3.733143735494403e-07	{'VIM', 'BRCA1', 'TSG101', 'ESR1', 'CREBBP', 'TCF4', 'ZBTB16', 'TP53', 'CDKN1A'}
ran677	pos	uniprot(tumor_suppressor)	14397	658	23	7	4.856584619358892e-06	{'MEOX2', 'MTUS2', 'BRCA1', 'UBE2I', 'ESR1', 'TCF4', 'TP53'}
ran677	neg	TTD	14397	464	13	3	0.0006039984761435359	{'TP53', 'CREBBP', 'AR'}
ran677	neg	uniprot(oncogene)	14397	1408	13	10	4.891388556744041e-10	{'SMAD3', 'VIM', 'UBE2I', 'CREBBP', 'ZBTB16', 'TP53', 'AR', 'NCOA1', 'CDKN1A', 'RELA'}
ran678	pos	TSgene	14397	878	18	5	0.0004975416651057058	{'BRCA1', 'CREBBP', 'ZBTB16', 'TP53', 'CDKN1A'}
ran678	pos	uniprot(tumor_suppressor)	14397	658	18	7	5.313513503620652e-07	{'MEOX2', 'MTUS2', 'DAXX', 'BRCA1', 'UBE2I', 'TP53', 'RELA'}
ran678	neg	TTD	14397	464	9	2	0.0024165472530489267	{'TP53', 'CREBBP'}
ran678	neg	uniprot(oncogene)	14397	1408	9	5	5.606519605001056e-05	{'SMAD3', 'UBE2I', 'CREBBP', 'TP53', 'CDKN1A'}
ran679	pos	TSgene	14397	878	24	7	5.668199941911388e-05	{'PIAS1', 'BRCA1', 'ESR1', 'CREBBP', 'ZBTB16', 'TP53', 'CDKN1A'}
ran679	pos	uniprot(tumor_suppressor)	14397	658	24	8	5.807622726131672e-07	{'MEOX2', 'MTUS2', 'PIAS1', 'BRCA1', 'UBE2I', 'ESR1', 'TP53', 'RELA'}
ran679	neg	TTD	14397	464	6	0	0.17847511721594383	set()
ran679	neg	uniprot(oncogene)	14397	1408	6	3	0.0011622412719924015	{'SMAD3', 'CDKN1A', 'UBE2I'}
ran680	pos	TSgene	14397	878	16	5	0.00023847285343946186	{'CREBBP', 'TCF4', 'ZBTB16', 'TP53', 'CDKN1A'}
ran680	pos	uniprot(tumor_suppressor)	14397	658	16	6	3.2162594959101116e-06	{'MEOX2', 'MTUS2', 'SETDB1', 'UBE2I', 'TCF4', 'TP53'}
ran680	neg	TTD	14397	464	19	5	2.059072180374621e-05	{'EGFR', 'ESR1', 'CREBBP', 'TP53', 'AR'}
ran680	neg	uniprot(oncogene)	14397	1408	19	14	1.773085789522669e-12	{'REL', 'TRAF1', 'EGFR', 'PIAS1', 'SMAD3', 'UBE2I', 'FHL2', 'ESR1', 'CREBBP', 'ZBTB16', 'TP53', 'AR', 'CDKN1A', 'RELA'}
ran681	pos	TSgene	14397	878	9	4	8.549183707769476e-05	{'ZBTB16', 'CREBBP', 'CDKN1A', 'TP53'}
ran681	pos	uniprot(tumor_suppressor)	14397	658	9	3	0.0004531526388944912	{'UBE2I', 'MEOX2', 'TP53'}
ran681	neg	TTD	14397	464	11	2	0.004523819719885822	{'CREBBP', 'AR'}
ran681	neg	uniprot(oncogene)	14397	1408	11	6	1.9527523356050183e-05	{'SMAD3', 'UBE2I', 'CREBBP', 'ZBTB16', 'AR', 'CDKN1A'}
ran682	pos	TSgene	14397	878	22	6	0.00023245073084399674	{'VIM', 'CREBBP', 'TCF4', 'ZBTB16', 'TP53', 'CDKN1A'}
ran682	pos	uniprot(tumor_suppressor)	14397	658	22	8	2.3993082018563004e-07	{'MEOX2', 'MTUS2', 'LZTS2', 'TRAF2', 'UBE2I', 'TCF4', 'TP53', 'RELA'}
ran682	neg	TTD	14397	464	10	1	0.03929811401760616	{'TP53'}
ran682	neg	uniprot(oncogene)	14397	1408	10	4	0.0014697688761128832	{'SMAD3', 'UBE2I', 'TP53', 'CDKN1A'}
ran683	pos	TSgene	14397	878	9	3	0.0013514416969124471	{'BRCA1', 'CDKN1A', 'CREBBP'}
ran683	pos	uniprot(tumor_suppressor)	14397	658	9	3	0.0004531526388944912	{'UBE2I', 'MEOX2', 'BRCA1'}
ran683	neg	TTD	14397	464	14	3	0.0008241842032266667	{'TP53', 'CREBBP', 'AR'}
ran683	neg	uniprot(oncogene)	14397	1408	14	9	5.3791461742633986e-08	{'REL', 'SMAD3', 'VIM', 'UBE2I', 'CREBBP', 'ZBTB16', 'TP53', 'AR', 'CDKN1A'}
ran684	pos	TSgene	14397	878	14	5	9.938950648043422e-05	{'BRCA1', 'CREBBP', 'ZBTB16', 'TP53', 'CDKN1A'}
ran684	pos	uniprot(tumor_suppressor)	14397	658	14	5	1.9524567288258006e-05	{'MEOX2', 'BRCA1', 'UBE2I', 'GRB2', 'TP53'}
ran684	neg	TTD	14397	464	13	3	0.0006039984761435359	{'TP53', 'CREBBP', 'AR'}
ran684	neg	uniprot(oncogene)	14397	1408	13	9	1.685449590467479e-08	{'REL', 'TRAF1', 'SMAD3', 'UBE2I', 'CREBBP', 'ZBTB16', 'TP53', 'AR', 'CDKN1A'}
ran685	pos	TSgene	14397	878	9	3	0.0013514416969124471	{'TP53', 'CREBBP', 'CDKN1A'}
ran685	pos	uniprot(tumor_suppressor)	14397	658	9	3	0.0004531526388944912	{'UBE2I', 'MEOX2', 'TP53'}
ran685	neg	TTD	14397	464	17	4	0.00015271628870789026	{'TP53', 'CREBBP', 'AR', 'MYC'}
ran685	neg	uniprot(oncogene)	14397	1408	17	12	1.1621806373859421e-10	{'REL', 'TRAF1', 'SMAD3', 'BRCA1', 'MYC', 'UBE2I', 'CREBBP', 'ZBTB16', 'TP53', 'AR', 'CDKN1A', 'RELA'}
ran686	pos	TSgene	14397	878	22	5	0.0016210940840736352	{'VIM', 'CREBBP', 'ZBTB16', 'TP53', 'CDKN1A'}
ran686	pos	uniprot(tumor_suppressor)	14397	658	22	5	0.00035444482473567064	{'MEOX2', 'MTUS2', 'UBE2I', 'TP53', 'RELA'}
ran686	neg	TTD	14397	464	13	2	0.007474175261657429	{'TP53', 'AR'}
ran686	neg	uniprot(oncogene)	14397	1408	13	9	1.685449590467479e-08	{'REL', 'TRAF1', 'SMAD3', 'UBE2I', 'ZBTB16', 'TP53', 'AR', 'CDKN1A', 'RELA'}
ran687	pos	TSgene	14397	878	20	10	4.122828151065951e-09	{'PIAS1', 'VIM', 'BRCA1', 'CREBBP', 'TCF4', 'ZBTB16', 'TP53', 'IKZF3', 'CDKN1A', 'PIN1'}
ran687	pos	uniprot(tumor_suppressor)	14397	658	20	8	8.798435570243381e-08	{'MEOX2', 'PIAS1', 'PIN1', 'BRCA1', 'UBE2I', 'TCF4', 'TP53', 'RELA'}
ran687	neg	TTD	14397	464	15	4	7.818124326969237e-05	{'TP53', 'ESR1', 'CREBBP', 'AR'}
ran687	neg	uniprot(oncogene)	14397	1408	15	10	7.10599264951663e-09	{'REL', 'SMAD3', 'UBE2I', 'FHL2', 'ESR1', 'CREBBP', 'ZBTB16', 'TP53', 'AR', 'CDKN1A'}
ran688	pos	TSgene	14397	878	11	5	1.7924205468946978e-05	{'VIM', 'CREBBP', 'ZBTB16', 'TP53', 'CDKN1A'}
ran688	pos	uniprot(tumor_suppressor)	14397	658	11	3	0.0011028180575826353	{'UBE2I', 'MEOX2', 'TP53'}
ran688	neg	TTD	14397	464	12	2	0.005888749849534875	{'TP53', 'CREBBP'}
ran688	neg	uniprot(oncogene)	14397	1408	12	7	2.8352024652232947e-06	{'REL', 'SMAD3', 'UBE2I', 'CREBBP', 'ZBTB16', 'TP53', 'CDKN1A'}
ran689	pos	TSgene	14397	878	7	2	0.006571575896688895	{'CREBBP', 'CDKN1A'}
ran689	pos	uniprot(tumor_suppressor)	14397	658	7	3	0.00013549669282917595	{'UBE2I', 'MEOX2', 'RELA'}
ran689	neg	TTD	14397	464	11	3	0.00029346750870189425	{'ESR1', 'TP53', 'AR'}
ran689	neg	uniprot(oncogene)	14397	1408	11	5	0.0002593206900235894	{'UBE2I', 'ESR1', 'TP53', 'AR', 'CDKN1A'}
ran690	pos	TSgene	14397	878	22	9	2.2317952399031432e-07	{'PIAS1', 'KAT5', 'BRCA1', 'ESR1', 'CREBBP', 'TCF4', 'ZBTB16', 'TP53', 'CDKN1A'}
ran690	pos	uniprot(tumor_suppressor)	14397	658	22	10	7.451383833318502e-10	{'MEOX2', 'MTUS2', 'PIAS1', 'KAT5', 'SETDB1', 'BRCA1', 'UBE2I', 'ESR1', 'TCF4', 'TP53'}
ran690	neg	TTD	14397	464	20	3	0.003422243074008911	{'TP53', 'AR', 'CREBBP'}
ran690	neg	uniprot(oncogene)	14397	1408	20	14	6.4491905257090745e-12	{'TRAF1', 'PIAS1', 'SMAD3', 'DAXX', 'PIN1', 'BRCA1', 'UBE2I', 'FHL2', 'CREBBP', 'ZBTB16', 'TP53', 'AR', 'CDKN1A', 'RELA'}
ran691	pos	TSgene	14397	878	10	3	0.002144141465523117	{'TP53', 'BRCA1', 'CDKN1A'}
ran691	pos	uniprot(tumor_suppressor)	14397	658	10	4	4.0864182094899835e-05	{'UBE2I', 'MEOX2', 'BRCA1', 'TP53'}
ran691	neg	TTD	14397	464	15	2	0.011335896981570462	{'TP53', 'CREBBP'}
ran691	neg	uniprot(oncogene)	14397	1408	15	10	7.10599264951663e-09	{'REL', 'SMAD3', 'VIM', 'BRCA1', 'UBE2I', 'CREBBP', 'TCF4', 'TP53', 'NCOA1', 'CDKN1A'}
ran692	pos	TSgene	14397	878	20	7	1.2083513836385366e-05	{'KAT5', 'BRCA1', 'ESR1', 'CREBBP', 'ZBTB16', 'TP53', 'CDKN1A'}
ran692	pos	uniprot(tumor_suppressor)	14397	658	20	10	1.9296066849071138e-10	{'MEOX2', 'KAT5', 'SETDB1', 'BRCA1', 'TRAF2', 'UBE2I', 'ESR1', 'COPS5', 'TP53', 'RELA'}
ran692	neg	TTD	14397	464	8	1	0.025513406137052844	{'TP53'}
ran692	neg	uniprot(oncogene)	14397	1408	8	5	2.038426529621829e-05	{'SMAD3', 'UBE2I', 'TP53', 'NCOA1', 'CDKN1A'}
ran693	pos	TSgene	14397	878	20	5	0.0009351912768126992	{'CREBBP', 'TCF4', 'ZBTB16', 'TP53', 'CDKN1A'}
ran693	pos	uniprot(tumor_suppressor)	14397	658	20	7	1.4098631272135836e-06	{'MEOX2', 'MTUS2', 'TRAF2', 'UBE2I', 'TCF4', 'TP53', 'RELA'}
ran693	neg	TTD	14397	464	15	3	0.0010954580068114688	{'TP53', 'ESR1', 'CREBBP'}
ran693	neg	uniprot(oncogene)	14397	1408	15	9	1.471623999212613e-07	{'REL', 'SMAD3', 'UBE2I', 'FHL2', 'ESR1', 'CREBBP', 'TP53', 'NCOA1', 'CDKN1A'}
ran694	pos	TSgene	14397	878	14	5	9.938950648043422e-05	{'VIM', 'BRCA1', 'ZBTB16', 'TP53', 'CDKN1A'}
ran694	pos	uniprot(tumor_suppressor)	14397	658	14	5	1.9524567288258006e-05	{'MEOX2', 'MTUS2', 'BRCA1', 'UBE2I', 'TP53'}
ran694	neg	TTD	14397	464	11	2	0.004523819719885822	{'TP53', 'CREBBP'}
ran694	neg	uniprot(oncogene)	14397	1408	11	6	1.9527523356050183e-05	{'SMAD3', 'UBE2I', 'CREBBP', 'TP53', 'CDKN1A', 'RELA'}
ran695	pos	TSgene	14397	878	19	6	8.070219974446874e-05	{'BRCA1', 'CREBBP', 'ZBTB16', 'TP53', 'CDKN1A', 'PIN1'}
ran695	pos	uniprot(tumor_suppressor)	14397	658	19	8	5.0430981512427994e-08	{'MEOX2', 'DAXX', 'PIN1', 'BRCA1', 'TRAF2', 'UBE2I', 'TP53', 'RELA'}
ran695	neg	TTD	14397	464	15	4	7.818124326969237e-05	{'TP53', 'ESR1', 'CREBBP', 'AR'}
ran695	neg	uniprot(oncogene)	14397	1408	15	11	2.5197026823985496e-10	{'REL', 'SMAD3', 'DAXX', 'UBE2I', 'FHL2', 'ESR1', 'CREBBP', 'TP53', 'AR', 'CDKN1A', 'RELA'}
ran696	pos	TSgene	14397	878	11	5	1.7924205468946978e-05	{'CREBBP', 'TCF4', 'ZBTB16', 'TP53', 'CDKN1A'}
ran696	pos	uniprot(tumor_suppressor)	14397	658	11	6	1.1345367109096556e-07	{'MEOX2', 'SETDB1', 'UBE2I', 'TCF4', 'TP53', 'RELA'}
ran696	neg	TTD	14397	464	11	2	0.004523819719885822	{'TP53', 'CREBBP'}
ran696	neg	uniprot(oncogene)	14397	1408	11	8	3.6626190399533504e-08	{'SMAD3', 'UBE2I', 'FHL2', 'CREBBP', 'ZBTB16', 'TP53', 'CDKN1A', 'RELA'}
ran697	pos	TSgene	14397	878	7	3	0.0004144035848945416	{'ZBTB16', 'TP53', 'CDKN1A'}
ran697	pos	uniprot(tumor_suppressor)	14397	658	7	3	0.00013549669282917595	{'UBE2I', 'MEOX2', 'TP53'}
ran697	neg	TTD	14397	464	13	3	0.0006039984761435359	{'TP53', 'CREBBP', 'AR'}
ran697	neg	uniprot(oncogene)	14397	1408	13	9	1.685449590467479e-08	{'REL', 'SMAD3', 'VIM', 'UBE2I', 'CREBBP', 'TP53', 'AR', 'CDKN1A', 'RELA'}
ran698	pos	TSgene	14397	878	9	5	3.624269376003141e-06	{'CREBBP', 'TCF4', 'ZBTB16', 'TP53', 'CDKN1A'}
ran698	pos	uniprot(tumor_suppressor)	14397	658	9	4	2.1231398437751177e-05	{'UBE2I', 'MEOX2', 'TP53', 'TCF4'}
ran698	neg	TTD	14397	464	17	3	0.0018147779142926776	{'TP53', 'ESR1', 'CREBBP'}
ran698	neg	uniprot(oncogene)	14397	1408	17	9	7.927588826136778e-07	{'REL', 'SMAD3', 'BRCA1', 'UBE2I', 'ESR1', 'CREBBP', 'ZBTB16', 'TP53', 'CDKN1A'}
ran699	pos	TSgene	14397	878	15	4	0.001497296994932831	{'ZBTB16', 'CREBBP', 'TP53', 'CDKN1A'}
ran699	pos	uniprot(tumor_suppressor)	14397	658	15	3	0.00394157094783555	{'UBE2I', 'MEOX2', 'TP53'}
ran699	neg	TTD	14397	464	23	4	0.0007077695217116867	{'TP53', 'AR', 'MYC', 'CREBBP'}
ran699	neg	uniprot(oncogene)	14397	1408	23	15	8.14854829360341e-12	{'REL', 'TRAF1', 'SMAD3', 'VIM', 'IKBKG', 'MYC', 'UBE2I', 'FHL2', 'CREBBP', 'LMO2', 'ZBTB16', 'TP53', 'AR', 'CDKN1A', 'RELA'}
ran700	pos	TSgene	14397	878	23	7	3.991058610590928e-05	{'VIM', 'BRCA1', 'ESR1', 'CREBBP', 'ZBTB16', 'TP53', 'CDKN1A'}
ran700	pos	uniprot(tumor_suppressor)	14397	658	23	8	3.782495558062254e-07	{'MEOX2', 'EGFR', 'MTUS2', 'BRCA1', 'TRAF2', 'UBE2I', 'ESR1', 'TP53'}
ran700	neg	TTD	14397	464	11	3	0.00029346750870189425	{'TP53', 'ESR1', 'CREBBP'}
ran700	neg	uniprot(oncogene)	14397	1408	11	8	3.6626190399533504e-08	{'SMAD3', 'EP300', 'UBE2I', 'ESR1', 'CREBBP', 'TP53', 'CDKN1A', 'RELA'}
ran701	pos	TSgene	14397	878	16	7	1.537577128085688e-06	{'VIM', 'BRCA1', 'CREBBP', 'TCF4', 'ZBTB16', 'TP53', 'CDKN1A'}
ran701	pos	uniprot(tumor_suppressor)	14397	658	16	7	1.695716697305559e-07	{'MEOX2', 'MTUS2', 'BRCA1', 'TRAF2', 'UBE2I', 'TCF4', 'TP53'}
ran701	neg	TTD	14397	464	19	2	0.021952297609847144	{'TP53', 'CREBBP'}
ran701	neg	uniprot(oncogene)	14397	1408	19	10	2.713638212861005e-07	{'REL', 'SMAD3', 'VIM', 'BRCA1', 'UBE2I', 'CREBBP', 'TCF4', 'ZBTB16', 'TP53', 'CDKN1A'}
ran702	pos	TSgene	14397	878	13	4	0.0007108642055867791	{'TP53', 'BRCA1', 'CDKN1A', 'CREBBP'}
ran702	pos	uniprot(tumor_suppressor)	14397	658	13	4	0.0001860530279332558	{'UBE2I', 'MEOX2', 'BRCA1', 'TP53'}
ran702	neg	TTD	14397	464	25	4	0.0010597325738600245	{'ESR1', 'TP53', 'MYC', 'CREBBP'}
ran702	neg	uniprot(oncogene)	14397	1408	25	14	8.457640654291617e-10	{'REL', 'TRAF1', 'TRIM27', 'CDKN1A', 'LZTS2', 'SMAD3', 'MYC', 'UBE2I', 'ESR1', 'CREBBP', 'ZBTB16', 'TP53', 'EP300', 'RELA'}
ran703	pos	TSgene	14397	878	14	5	9.938950648043422e-05	{'CREBBP', 'TCF4', 'ZBTB16', 'TP53', 'CDKN1A'}
ran703	pos	uniprot(tumor_suppressor)	14397	658	14	4	0.00027856883940931076	{'UBE2I', 'MEOX2', 'TP53', 'TCF4'}
ran703	neg	TTD	14397	464	9	1	0.0321125086745007	{'CREBBP'}
ran703	neg	uniprot(oncogene)	14397	1408	9	6	2.5437999178141017e-06	{'REL', 'SMAD3', 'UBE2I', 'CREBBP', 'ZBTB16', 'CDKN1A'}
ran704	pos	TSgene	14397	878	21	7	1.847907891326027e-05	{'PIAS1', 'CREBBP', 'TCF4', 'ZBTB16', 'TP53', 'IKZF3', 'CDKN1A'}
ran704	pos	uniprot(tumor_suppressor)	14397	658	21	9	8.299562725588364e-09	{'MEOX2', 'MTUS2', 'PIAS1', 'DAXX', 'IKBKG', 'TRAF2', 'UBE2I', 'TCF4', 'TP53'}
ran704	neg	TTD	14397	464	11	3	0.00029346750870189425	{'TP53', 'CREBBP', 'MYC'}
ran704	neg	uniprot(oncogene)	14397	1408	11	8	3.6626190399533504e-08	{'REL', 'SMAD3', 'MYC', 'UBE2I', 'CREBBP', 'ZBTB16', 'TP53', 'CDKN1A'}
ran705	pos	TSgene	14397	878	9	2	0.014386143720423836	{'CREBBP', 'CDKN1A'}
ran705	pos	uniprot(tumor_suppressor)	14397	658	9	2	0.006490818100938526	{'UBE2I', 'MEOX2'}
ran705	neg	TTD	14397	464	14	2	0.009287809186985444	{'ESR1', 'CREBBP'}
ran705	neg	uniprot(oncogene)	14397	1408	14	9	5.3791461742633986e-08	{'SMAD3', 'BRCA1', 'UBE2I', 'ESR1', 'CREBBP', 'TCF4', 'NCOA1', 'CDKN1A', 'RELA'}
ran706	pos	TSgene	14397	878	13	5	5.987966913825061e-05	{'VIM', 'ESR1', 'CREBBP', 'TP53', 'CDKN1A'}
ran706	pos	uniprot(tumor_suppressor)	14397	658	13	4	0.0001860530279332558	{'UBE2I', 'MEOX2', 'TP53', 'ESR1'}
ran706	neg	TTD	14397	464	15	3	0.0010954580068114688	{'TP53', 'CREBBP', 'MYC'}
ran706	neg	uniprot(oncogene)	14397	1408	15	10	7.10599264951663e-09	{'REL', 'SMAD3', 'BRCA1', 'MYC', 'UBE2I', 'CREBBP', 'ZBTB16', 'TP53', 'CDKN1A', 'PIN1'}
ran707	pos	TSgene	14397	878	15	4	0.001497296994932831	{'ZBTB16', 'CREBBP', 'CDKN1A', 'TP53'}
ran707	pos	uniprot(tumor_suppressor)	14397	658	15	5	3.128538976451709e-05	{'MEOX2', 'MTUS2', 'TRAF2', 'UBE2I', 'TP53'}
ran707	neg	TTD	14397	464	9	2	0.0024165472530489267	{'TP53', 'CREBBP'}
ran707	neg	uniprot(oncogene)	14397	1408	9	6	2.5437999178141017e-06	{'REL', 'SMAD3', 'UBE2I', 'CREBBP', 'TP53', 'CDKN1A'}
ran708	pos	TSgene	14397	878	18	6	5.379141172521166e-05	{'VIM', 'CREBBP', 'ZBTB16', 'TP53', 'CDKN1A', 'PIN1'}
ran708	pos	uniprot(tumor_suppressor)	14397	658	18	7	5.313513503620652e-07	{'MEOX2', 'MTUS2', 'LZTS2', 'TRAF2', 'UBE2I', 'TP53', 'PIN1'}
ran708	neg	TTD	14397	464	10	2	0.0033700872987153644	{'TP53', 'CREBBP'}
ran708	neg	uniprot(oncogene)	14397	1408	10	7	3.086933594014873e-07	{'REL', 'SMAD3', 'UBE2I', 'CREBBP', 'ZBTB16', 'TP53', 'CDKN1A'}
ran709	pos	TSgene	14397	878	16	5	0.00023847285343946186	{'VIM', 'CREBBP', 'ZBTB16', 'TP53', 'CDKN1A'}
ran709	pos	uniprot(tumor_suppressor)	14397	658	16	5	4.812686792820542e-05	{'MEOX2', 'MTUS2', 'UBE2I', 'TP53', 'RELA'}
ran709	neg	TTD	14397	464	11	3	0.00029346750870189425	{'TP53', 'CREBBP', 'AR'}
ran709	neg	uniprot(oncogene)	14397	1408	11	9	7.797935524398387e-10	{'PIAS1', 'SMAD3', 'DAXX', 'BRCA1', 'UBE2I', 'CREBBP', 'TP53', 'AR', 'CDKN1A'}
ran710	pos	TSgene	14397	878	9	3	0.0013514416969124471	{'ZBTB16', 'TP53', 'CDKN1A'}
ran710	pos	uniprot(tumor_suppressor)	14397	658	9	3	0.0004531526388944912	{'UBE2I', 'MEOX2', 'TP53'}
ran710	neg	TTD	14397	464	21	4	0.0004514024461686368	{'ESR1', 'TP53', 'AR', 'CREBBP'}
ran710	neg	uniprot(oncogene)	14397	1408	21	13	4.138375596688007e-10	{'REL', 'PIAS1', 'SMAD3', 'BRCA1', 'UBE2I', 'FHL2', 'ESR1', 'CREBBP', 'TCF4', 'ZBTB16', 'TP53', 'AR', 'CDKN1A'}
ran711	pos	TSgene	14397	878	14	4	0.0010505723717795423	{'TP53', 'BRCA1', 'CDKN1A', 'CREBBP'}
ran711	pos	uniprot(tumor_suppressor)	14397	658	14	5	1.9524567288258006e-05	{'MEOX2', 'BRCA1', 'UBE2I', 'TP53', 'RELA'}
ran711	neg	TTD	14397	464	12	2	0.005888749849534875	{'TP53', 'CREBBP'}
ran711	neg	uniprot(oncogene)	14397	1408	12	8	1.3370748245286992e-07	{'REL', 'SMAD3', 'UBE2I', 'FHL2', 'CREBBP', 'ZBTB16', 'TP53', 'CDKN1A'}
ran712	pos	TSgene	14397	878	11	4	0.0002827819094862583	{'TP53', 'BRCA1', 'CDKN1A', 'CREBBP'}
ran712	pos	uniprot(tumor_suppressor)	14397	658	11	5	3.380808111696525e-06	{'MEOX2', 'MTUS2', 'BRCA1', 'UBE2I', 'TP53'}
ran712	neg	TTD	14397	464	10	1	0.03929811401760616	{'CREBBP'}
ran712	neg	uniprot(oncogene)	14397	1408	10	5	0.00012852441729506925	{'SMAD3', 'UBE2I', 'FHL2', 'CREBBP', 'CDKN1A'}
ran713	pos	TSgene	14397	878	20	6	0.00011765072292821157	{'VIM', 'CREBBP', 'TCF4', 'ZBTB16', 'TP53', 'CDKN1A'}
ran713	pos	uniprot(tumor_suppressor)	14397	658	20	7	1.4098631272135836e-06	{'MEOX2', 'MTUS2', 'SETDB1', 'UBE2I', 'TCF4', 'TP53', 'RELA'}
ran713	neg	TTD	14397	464	11	3	0.00029346750870189425	{'TP53', 'ESR1', 'CREBBP'}
ran713	neg	uniprot(oncogene)	14397	1408	11	7	1.03420581005908e-06	{'SMAD3', 'UBE2I', 'ESR1', 'CREBBP', 'ZBTB16', 'TP53', 'CDKN1A'}
ran714	pos	TSgene	14397	878	10	3	0.002144141465523117	{'TP53', 'CREBBP', 'CDKN1A'}
ran714	pos	uniprot(tumor_suppressor)	14397	658	10	5	1.5986147804574745e-06	{'MEOX2', 'MTUS2', 'SETDB1', 'UBE2I', 'TP53'}
ran714	neg	TTD	14397	464	11	2	0.004523819719885822	{'TP53', 'CREBBP'}
ran714	neg	uniprot(oncogene)	14397	1408	11	6	1.9527523356050183e-05	{'SMAD3', 'UBE2I', 'FHL2', 'CREBBP', 'TP53', 'CDKN1A'}
